firebot-1  | [arduino_bridge_node-2] [INFO] [1777494248.495954402] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494248.698968384] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494248.895389680] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494249.098072198] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494249.300094513] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494249.495628513] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494249.697955420] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494249.896832568] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494250.096272494] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494250.295423587] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494250.496675512] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494250.695824123] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494250.895442660] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [INFO] [1777494250.987358382] [brain_node]: state: EXTINGUISHING -> COMPLETE
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494251.099444456] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494251.197798642] [arduino_bridge_node]: mega: warn=0
firebot-1  | [brain_node-3] [INFO] [1777494254.089033381] [brain_node]: state: COMPLETE -> IDLE
